# Accelerometer Data File
# Started @Fri Dec 02 13:37:46 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM6DS3 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.129 4.991 8.224 5
-0.141 4.979 8.202 5
-0.16 4.967 8.219 5
-0.179 4.955 8.224 5
-0.184 4.948 8.228 5
-0.148 4.907 8.252 5
-0.131 4.895 8.319 5
-0.093 4.91 8.382 5
-0.059 4.938 8.403 5
-0.047 4.95 8.408 5
-0.021 4.938 8.446 5
0.016 4.936 8.415 5
0.052 4.912 8.389 5
0.076 4.893 8.336 5
0.098 4.857 8.291 5
0.088 4.85 8.224 5
0.064 4.833 8.169 5
0.033 4.8 8.07 5
0.009 4.778 8.032 5
0.002 4.768 8.078 5
0.023 4.783 8.109 5
0.038 4.819 8.102 5
0.067 4.857 8.066 5
0.129 4.931 8.039 5
0.141 4.962 8.047 5
0.191 4.986 7.996 5
0.224 4.984 7.972 5
0.215 4.981 7.958 5
0.193 4.984 7.934 4
0.167 4.967 7.925 5
0.145 4.969 7.946 5
0.107 4.96 7.965 5
0.122 4.938 7.977 5
0.131 4.895 7.98 5
0.138 4.874 7.984 5
0.078 4.886 8.015 5
0.064 4.912 8.027 5
0.055 4.907 8.044 5
0.071 4.922 8.051 5
0.086 4.936 8.073 5
0.105 4.938 8.094 5
0.138 4.895 8.149 5
0.155 4.888 8.145 5
0.181 4.922 8.092 5
0.198 4.922 8.025 5
0.193 4.905 7.987 5
0.203 4.924 8.037 5
0.224 4.905 8.09 5
0.279 4.893 8.116 5
0.311 4.907 8.178 5
0.289 4.888 8.255 5
0.236 4.888 8.24 5
0.177 4.874 8.367 5
0.179 4.917 8.413 5
0.136 4.991 8.26 5
0.04 5.082 8.209 5
-0.349 5.278 7.795 5
-0.516 5.319 7.204 5
-0.619 5.158 6.601 5
-0.212 5.015 6.601 5
0.37 4.998 6.831 5
0.959 4.974 7.111 4
1.371 4.95 7.259 5
1.667 4.931 7.276 5
1.842 4.969 7.3 5
2.076 5.113 7.35 5
2.33 5.292 7.381 5
2.517 5.484 7.381 5
2.584 5.613 7.288 5
2.481 5.668 7.156 5
2.323 5.67 7.075 5
2.11 5.599 7.015 5
1.864 5.491 6.936 5
1.619 5.379 6.764 5
1.325 5.261 6.496 5
1.021 5.166 6.235 5
0.772 5.079 6.072 5
0.614 5.036 6.056 5
0.653 5.001 6.092 5
0.768 4.986 6.101 5
0.923 4.989 6.094 5
1.093 4.989 6.017 5
1.265 4.998 5.84 5
1.617 5.079 5.539 5
2.017 5.067 5.273 5
2.249 4.962 5.156 5
2.237 4.84 5.082 5
1.935 4.761 4.912 5
1.507 4.651 4.634 5
1.213 4.563 4.359 5
1.014 4.546 4.094 5
0.88 4.584 3.888 5
0.811 4.625 3.785 5
0.669 4.663 3.842 5
0.507 4.701 3.988 4
0.38 4.754 4.139 5
0.251 4.797 4.314 5
0.212 4.857 4.534 5
0.126 4.888 4.742 5
0.04 4.857 4.914 5
-0.011 4.783 5.115 5
0.0 4.668 5.178 5
0.055 4.46 5.134 5
0.129 4.211 5.039 5
0.119 3.921 4.917 5
0.083 3.692 4.819 5
-0.047 3.553 4.785 5
-0.399 3.546 4.756 5
-0.995 3.713 4.783 5
-1.734 3.969 4.847 5
-2.361 4.165 4.931 5
-3.046 4.331 5.017 5
-3.608 4.498 5.111 5
-3.101 4.488 5.546 5
-2.203 4.378 6.233 5
-1.351 4.206 6.884 5
-0.619 4.065 7.207 5
-0.129 4.074 7.176 5
0.004 4.189 6.853 5
-0.11 4.359 6.271 5
-0.38 4.558 5.558 5
-0.77 4.711 4.855 5
-1.249 4.766 4.165 5
-1.706 4.642 3.68 5
-2.002 4.414 3.5 5
-2.139 4.098 3.601 5
-2.134 3.728 3.945 4
-2.124 3.414 4.364 5
-2.187 3.294 4.608 5
-2.292 3.328 5.338 5
-2.328 3.443 6.118 5
-2.201 3.565 6.905 5
-1.993 3.579 7.798 5
-1.734 3.608 8.669 5
-1.636 3.675 9.296 5
-1.818 3.854 9.597 5
-2.383 4.118 9.659 5
-3.213 4.364 9.741 5
-4.252 4.548 9.829 5
-5.352 4.666 9.997 5
-6.297 4.656 10.078 5
-6.85 4.512 10.052 5
-7.046 4.268 9.975 5
-6.814 4.0 9.925 5
-6.139 3.775 9.949 5
-5.139 3.73 9.98 5
-3.912 3.864 10.057 5
-2.462 3.869 10.322 5
-0.744 3.579 10.561 5
0.961 3.024 10.566 5
2.462 2.478 10.595 5
3.5 2.05 10.894 5
3.921 1.684 11.444 5
3.653 1.526 11.918 5
2.897 1.576 12.208 5
1.751 1.825 12.289 5
0.552 2.096 12.074 5
-0.397 2.275 11.643 5
-0.89 2.34 11.1 5
-1.081 2.266 10.671 4
-1.251 2.014 10.191 5
-1.569 1.706 9.69 5
-2.029 1.289 9.121 5
-2.488 0.765 8.755 5
-2.9 0.22 8.748 5
-3.189 -0.32 9.418 5
-3.069 -0.827 11.26 5
-2.572 -1.189 14.342 5
-1.852 -1.44 18.47 5
-1.012 -1.749 23.04 5
-0.263 -2.285 27.144 5
0.035 -2.993 29.836 5
-0.387 -3.713 30.836 5
-1.471 -4.232 29.821 5
-2.677 -4.496 27.215 5
-3.249 -4.395 25.045 5
-4.838 -4.043 19.872 5
-7.03 -3.773 13.505 5
-9.705 -3.45 7.855 5
-11.54 -2.567 3.842 5
-12.193 -1.316 2.218 5
-11.775 -0.122 2.679 5
-10.686 0.803 3.89 5
-9.477 1.612 4.934 5
-8.599 2.349 5.797 5
-7.996 3.029 6.58 5
-7.367 3.615 7.487 5
-6.568 4.199 8.587 5
-5.575 4.859 9.918 5
-4.73 5.572 11.121 5
-4.158 6.101 11.703 5
-3.771 6.226 11.6 4
-3.55 6.082 10.805 5
-3.335 5.773 9.399 5
-3.211 5.211 7.063 5
-3.038 4.828 3.792 5
-2.818 4.881 0.057 5
-2.667 5.146 -3.438 5
-2.368 5.087 -6.216 5
-1.708 4.532 -8.441 5
-0.301 3.828 -10.131 5
1.864 3.33 -11.286 5
4.386 3.239 -11.607 5
6.484 3.9 -10.822 5
7.077 5.682 -9.317 5
5.046 8.324 -7.18 5
0.071 10.963 -4.51 5
-7.077 13.28 -1.646 5
-14.617 15.558 1.347 5
-21.291 17.915 4.431 5
-26.967 20.518 7.156 5
-31.195 23.217 9.633 5
-33.631 25.596 11.818 5
-34.382 27.646 13.636 5
-33.942 29.285 15.194 5
-31.901 29.984 16.579 5
-28.508 29.414 17.812 5
-24.509 28.199 18.585 5
-19.877 26.84 19.013 5
-14.758 25.342 19.054 5
-9.442 23.696 18.714 5
-4.534 22.203 17.9 5
-0.126 20.669 16.338 5
3.881 18.845 14.084 4
7.422 16.666 11.418 5
10.437 14.383 8.523 5
12.918 12.289 5.419 5
14.6 10.676 2.309 5
15.247 9.667 -0.311 5
15.136 9.123 -2.002 5
14.77 8.678 -2.912 5
14.505 8.173 -3.445 5
13.971 7.738 -3.766 5
12.966 7.704 -3.912 5
12.122 7.903 -4.177 5
11.72 8.097 -4.953 5
11.466 8.456 -5.936 5
10.995 9.128 -6.434 5
10.504 9.889 -6.128 5
10.425 10.238 -5.24 5
10.906 10.219 -3.871 5
11.88 10.14 -2.084 5
13.024 10.284 -0.344 5
13.854 10.511 1.009 5
14.275 10.633 1.921 5
14.4 10.557 2.469 5
14.167 10.267 2.538 5
13.521 10.052 2.069 5
12.737 9.961 1.457 5
12.141 9.901 0.765 5
11.6 9.875 -0.126 5
10.889 10.006 -1.162 5
9.961 10.267 -2.122 5
9.128 10.511 -2.77 5
8.477 10.59 -3.086 5
8.061 10.499 -3.28 4
7.819 10.521 -3.323 5
7.57 10.676 -3.084 5
7.357 10.872 -2.452 5
7.357 11.026 -1.579 5
7.465 11.045 -0.715 5
7.465 10.937 -0.04 5
7.324 10.758 0.413 5
7.168 10.514 0.543 5
7.051 10.248 0.279 5
6.943 9.994 -0.162 5
6.91 9.877 -0.684 5
6.824 9.86 -1.16 5
6.709 9.858 -1.512 5
6.592 9.793 -1.598 5
6.407 9.597 -1.526 5
6.104 9.437 -1.421 5
5.702 9.418 -1.335 5
5.335 9.442 -1.38 5
5.015 9.53 -1.478 5
4.701 9.564 -1.471 5
4.323 9.511 -1.399 5
3.945 9.401 -1.318 5
3.706 9.288 -1.239 5
3.512 9.128 -1.177 5
3.302 8.946 -1.067 5
3.184 8.724 -0.99 5
3.113 8.487 -1.007 5
3.005 8.264 -1.119 5
2.785 8.09 -1.246 5
2.426 7.956 -1.404 5
1.971 7.795 -1.531 5
1.526 7.604 -1.655 4
1.134 7.446 -1.761 5
0.794 7.422 -1.859 5
0.555 7.479 -1.892 5
0.442 7.563 -1.928 5
0.457 7.625 -1.971 5
0.602 7.685 -2.026 5
0.736 7.745 -2.256 5
0.82 7.944 -2.555 5
0.856 8.252 -2.912 5
0.894 8.697 -3.256 5
1.06 9.083 -3.431 5
1.191 9.434 -3.409 5
1.119 9.808 -3.261 5
0.839 10.169 -3.014 5
0.409 10.53 -2.732 5
-0.04 10.82 -2.476 5
-0.514 11.114 -2.201 5
-0.952 11.437 -1.854 5
-1.174 11.71 -1.395 5
-1.026 11.894 -0.911 5
-0.681 11.976 -0.375 5
-0.222 12.045 0.148 5
0.279 11.985 0.677 5
0.93 11.772 1.103 5
1.605 11.432 1.239 5
2.199 11.1 1.057 5
2.749 10.82 0.629 5
3.275 10.561 0.076 5
3.723 10.238 -0.528 5
4.118 9.891 -1.167 5
4.364 9.556 -1.777 4
