# Accelerometer Data File
# Started @Fri Dec 02 13:30:54 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM330 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-1.493 5.372 10.457 10
-1.369 5.353 10.18 11
-1.034 5.19 9.931 9
-0.622 5.018 9.806 10
-0.191 4.836 9.931 10
-0.028 4.568 10.314 10
-0.258 4.386 10.917 10
-0.737 4.242 11.453 10
-1.312 4.05 11.942 10
-1.81 3.754 12.191 11
-2.164 3.399 12.114 9
-2.279 3.093 11.674 10
-2.183 2.901 10.898 10
-1.829 2.873 10.007 10
-1.474 2.825 9.232 10
-1.216 2.796 8.523 10
-1.082 2.873 8.293 10
-1.101 2.959 8.331 10
-1.158 2.825 8.58 10
-1.331 2.355 9.05 10
-1.493 1.867 9.318 10
-1.503 1.541 9.251 10
-1.321 1.388 9.059 10
-0.976 1.484 8.724 10
-0.737 1.695 8.303 10
-0.708 1.944 7.747 10
-0.861 2.116 7.201 10
-1.072 2.288 6.646 10
-1.244 2.403 6.244 10
-1.302 2.509 5.861 10
-1.321 2.614 5.669 10
-1.283 2.719 5.506 10
-1.197 2.786 5.497 10
-1.082 2.882 5.525 10
-0.938 3.016 5.698 10
-0.842 3.208 6.023 10
-0.679 3.428 6.397 10
-0.593 3.658 7.125 10
-0.584 3.821 7.785 10
-0.804 3.849 8.226 10
-1.168 3.869 8.437 10
-1.551 4.022 8.494 10
-1.905 4.299 8.446 10
-2.183 4.424 8.647 10
-2.221 4.616 8.944 11
-2.049 4.692 9.433 9
-1.695 4.596 9.873 10
-1.369 4.501 10.17 10
-1.11 4.558 10.218 10
-1.024 4.721 10.084 10
-0.957 4.941 10.046 10
-0.89 5.171 10.323 10
-0.823 5.363 10.658 10
-1.034 5.391 10.955 10
-1.369 5.468 11.109 10
-1.513 5.602 11.3 10
-1.446 5.64 11.367 10
-1.503 5.573 11.214 10
-1.714 5.43 11.051 10
-1.953 5.248 11.022 10
-2.039 5.037 11.147 10
-2.03 4.845 11.425 10
-1.886 4.443 11.444 10
-1.704 3.897 11.319 10
-1.359 3.361 10.927 10
-1.005 3.055 10.448 10
-0.794 2.959 10.017 10
-0.746 3.035 9.758 11
-0.909 3.284 9.557 9
-1.063 3.543 9.5 10
-1.321 3.677 9.49 10
-1.58 3.648 9.337 10
-1.637 3.562 9.021 10
-1.608 3.294 8.667 10
-1.388 2.997 8.322 10
-1.024 2.748 7.929 10
-0.651 2.652 7.536 10
-0.335 2.786 7.268 10
-0.086 3.035 7.067 10
0.057 3.447 7.029 11
0.019 3.773 7.115 9
-0.057 4.041 7.105 10
-0.124 4.127 6.971 10
-0.095 4.175 6.722 10
-0.009 4.28 6.502 10
0.201 4.424 6.311 10
0.383 4.558 6.291 10
0.555 4.606 6.416 10
0.746 4.702 6.646 10
0.785 4.721 7.192 10
0.756 4.692 7.69 10
0.775 4.587 8.111 10
0.823 4.51 8.379 10
1.091 4.606 8.542 10
1.359 4.807 8.781 10
1.532 4.951 8.944 10
1.551 4.979 9.097 10
1.484 4.999 9.538 10
1.302 4.989 9.94 10
1.177 4.951 10.352 10
1.12 4.874 10.735 10
1.149 4.759 10.946 10
1.149 4.654 11.013 10
1.034 4.596 11.022 10
0.718 4.663 11.061 10
0.277 4.788 11.042 10
-0.143 4.893 10.86 10
-0.421 5.018 10.668 10
-0.421 5.219 10.409 10
-0.296 5.334 10.333 10
-0.162 5.305 10.275 10
-0.009 5.171 10.505 11
0.143 4.951 10.984 9
0.162 4.635 11.501 10
-0.038 4.242 11.961 11
-0.402 3.936 12.267 9
-0.794 3.677 12.239 10
-1.225 3.485 12.181 10
-1.656 3.409 11.769 10
-1.886 3.418 10.955 10
-1.829 3.533 10.036 11
-1.551 3.754 9.356 9
-1.206 3.945 8.609 10
-0.938 3.907 8.13 10
-0.699 3.706 7.91 10
-0.574 3.428 8.092 10
-0.708 3.045 8.379 10
-1.072 2.7 8.695 10
-1.388 2.422 8.829 10
-1.474 2.279 8.82 10
-1.685 1.924 8.552 10
-1.714 1.656 7.996 10
-1.484 1.589 7.393 10
-1.12 1.685 6.904 10
-0.746 1.81 6.368 10
-0.469 1.944 5.975 10
-0.239 2.509 5.774 10
-0.373 2.461 5.746 10
-0.497 2.384 5.832 10
-0.565 2.346 5.736 10
-0.794 2.279 5.602 10
-1.206 2.375 5.765 10
-1.321 2.671 5.889 10
-1.369 2.978 6.215 10
-1.331 3.208 6.483 10
-1.359 3.361 6.742 10
-1.446 3.466 6.981 10
-1.599 3.543 7.23 10
-1.8 3.591 7.402 10
-1.867 3.734 7.603 11
-1.714 3.936 7.872 9
-1.513 4.204 8.398 10
-1.388 4.309 8.638 10
-1.187 4.213 8.868 10
-0.919 4.127 9.193 10
-0.641 4.242 9.586 10
-0.555 4.357 9.988 10
-0.679 4.481 10.218 10
-0.794 4.673 10.304 10
-0.928 4.893 10.371 10
-0.727 5.161 10.208 11
-0.344 5.305 10.16 9
0.009 5.276 10.16 10
0.086 5.094 10.477 10
-0.239 4.797 11.118 11
-0.679 4.443 11.645 10
-1.072 4.079 12.085 9
-1.216 3.878 12.44 10
-1.417 3.6 12.564 10
-1.561 3.227 12.315 10
-1.513 2.949 11.789 10
-1.302 2.882 11.061 10
-0.948 3.074 10.256 10
-0.67 3.38 9.595 11
-0.507 3.677 9.107 9
-0.517 3.83 8.829 11
-0.641 3.782 8.561 9
-0.718 3.543 8.437 10
-0.756 3.198 8.264 10
-0.746 2.968 8.034 10
-0.699 2.853 7.766 10
-0.612 2.892 7.527 10
-0.44 3.007 7.297 10
-0.172 3.189 7.153 10
0.143 3.371 7.125 11
0.325 3.514 7.144 9
0.469 3.61 7.105 10
0.584 3.639 7.153 10
0.708 3.696 7.278 10
0.746 3.811 7.489 11
0.689 3.955 7.651 9
0.612 4.089 7.852 10
0.526 4.242 8.101 10
0.517 4.357 8.303 11
0.622 4.453 8.465 9
0.727 4.568 8.542 10
0.842 4.74 8.58 10
0.909 4.96 8.523 10
0.948 5.142 8.475 10
1.015 5.324 8.437 10
1.005 5.382 8.638 10
1.063 5.363 9.021 10
1.197 5.238 9.548 10
1.331 5.085 10.046 10
1.407 4.97 10.524 10
1.369 4.865 10.773 10
1.187 4.845 10.965 10
0.814 4.855 10.994 10
0.325 4.797 10.955 10
-0.076 4.683 10.917 10
-0.421 4.683 10.898 10
-0.622 4.769 10.821 10
-0.593 4.817 10.802 11
-0.43 4.836 10.793 9
-0.248 4.807 10.84 10
-0.153 4.625 11.013 10
